,day,hour,label,points,points_per,center_x,center_y,cluster_count,region_surface,region_vertices
17,0,1,17,3685,0.11560421633831096,40.72007320541466,-74.00472524688062,40.0,0.0005915588150000247,"[[ 40.7376    -74.0016   ]
 [ 40.7353    -73.9983   ]
 [ 40.7239    -73.9929   ]
 [ 40.7195    -73.9932   ]
 [ 40.7183    -73.9939   ]
 [ 40.7073    -74.0014   ]
 [ 40.7057505 -74.0029056]
 [ 40.7024    -74.0095   ]
 [ 40.7021    -74.0129   ]
 [ 40.702786  -74.0157731]
 [ 40.7053    -74.0172   ]
 [ 40.7064    -74.0178   ]
 [ 40.716     -74.0168   ]
 [ 40.7346    -74.0099   ]
 [ 40.7354    -74.0093   ]]"
18,0,1,18,2,6.274312962730582e-05,40.38995,-74.64134999999999,40.0,,
19,0,1,19,219,0.006870372694189986,40.87596545370569,-73.86440580408163,40.0,0.0028697569022853517,"[[ 40.9346    -73.8443   ]
 [ 40.8884329 -73.8281895]
 [ 40.8738889 -73.8294444]
 [ 40.8539384 -73.8611454]
 [ 40.8506558 -73.8665241]
 [ 40.8552778 -73.8863889]
 [ 40.8614754 -73.8905439]
 [ 40.8735    -73.8896   ]]"
20,0,1,20,131,0.00410967499058853,40.829285912500005,-73.8473835125,40.0,0.0023365069366597987,"[[ 40.8126008 -73.8840247]
 [ 40.8162916 -73.8962205]
 [ 40.8392    -73.8589   ]
 [ 40.8662112 -73.7895774]
 [ 40.8226008 -73.8095781]
 [ 40.8147    -73.864    ]]"
21,0,1,21,4,0.00012548625925461163,41.0331,-73.79788333333333,40.0,0.0010736400000000443,"[[ 41.0111 -73.7958]
 [ 41.0597 -73.8329]
 [ 41.0285 -73.7649]]"
22,0,1,22,5,0.00015685782406826452,40.72208,-73.60893999999999,40.0,0.005638524999999714,"[[ 40.7547 -73.5602]
 [ 40.6445 -73.5749]
 [ 40.7422 -73.6642]]"
23,0,1,23,3,9.411469444095872e-05,40.50926666666667,-74.43353333333333,40.0,0.00014320499999993395,"[[ 40.5339 -74.4097]
 [ 40.4962 -74.4423]
 [ 40.4977 -74.4486]]"
24,0,1,24,2,6.274312962730582e-05,40.86525,-74.1889,40.0,,
25,0,1,25,293,0.0091918684904003,40.71762884814815,-73.85867105925927,40.0,0.001923712126949887,"[[ 40.6807    -73.8531   ]
 [ 40.685     -73.8604   ]
 [ 40.7014917 -73.8868028]
 [ 40.7039    -73.8865   ]
 [ 40.7332    -73.8715   ]
 [ 40.7469593 -73.8601456]
 [ 40.7405485 -73.842789 ]
 [ 40.7221    -73.8396   ]
 [ 40.6905    -73.8477   ]]"
26,0,1,26,234,0.00734094616639478,40.60821803928571,-73.94014237500001,40.0,0.0032476669278004937,"[[ 40.5614476 -73.8955211]
 [ 40.576312  -73.968501 ]
 [ 40.6332    -73.9467   ]
 [ 40.6365    -73.9449   ]
 [ 40.6386    -73.9329   ]
 [ 40.6324    -73.9206   ]]"
27,0,1,27,1181,0.037049818044924084,40.6962327074833,-73.91961422880689,40.0,0.0009361993049998181,"[[ 40.6994    -73.8983   ]
 [ 40.665306  -73.9124755]
 [ 40.6824    -73.929    ]
 [ 40.7028    -73.9338   ]
 [ 40.7056    -73.9338   ]
 [ 40.7062    -73.9336   ]
 [ 40.7078    -73.9325   ]
 [ 40.7085    -73.9221   ]
 [ 40.7080556 -73.9141667]]"
28,0,1,28,97,0.003043041786924332,40.69891335555556,-73.73408616666667,40.0,0.004440503852295018,"[[ 40.6713    -73.6829   ]
 [ 40.6620479 -73.7354097]
 [ 40.6667703 -73.7515212]
 [ 40.7134361 -73.7670772]
 [ 40.7213    -73.7553   ]
 [ 40.7470463 -73.7115199]]"
29,0,1,29,967,0.03033630317480236,40.77608838551413,-73.95550897302049,40.0,0.0006289904400002073,"[[ 40.7613367 -73.9502853]
 [ 40.7658    -73.9697   ]
 [ 40.7827725 -73.9653627]
 [ 40.7963    -73.9496   ]
 [ 40.7967    -73.9473   ]
 [ 40.7935    -73.9412   ]
 [ 40.7862    -73.9426   ]
 [ 40.7641    -73.9478   ]]"
30,0,1,30,2532,0.07943280210816915,40.7164225627588,-73.9534026704365,40.0,0.0008669588849999433,"[[ 40.7017    -73.9414   ]
 [ 40.7077    -73.9683   ]
 [ 40.7087085 -73.9702219]
 [ 40.7349    -73.9589   ]
 [ 40.7352    -73.9584   ]
 [ 40.7369    -73.9553   ]
 [ 40.7364    -73.9526   ]
 [ 40.7210549 -73.9304689]
 [ 40.7057    -73.9368   ]]"
31,0,1,31,17,0.0005333166018320994,42.6131121,-73.8065006,40.0,,
32,0,1,32,1794,0.05628058727569331,40.74603874588579,-73.99613818080846,40.0,0.00042541999999994197,"[[ 40.7365 -73.9976]
 [ 40.7354 -74.006 ]
 [ 40.7358 -74.0068]
 [ 40.738  -74.0093]
 [ 40.7395 -74.0099]
 [ 40.7464 -74.0101]
 [ 40.7529 -74.004 ]
 [ 40.7567 -73.9983]
 [ 40.7567 -73.9927]
 [ 40.7529 -73.9838]
 [ 40.7473 -73.9809]
 [ 40.7439 -73.9837]
 [ 40.738  -73.9946]]"
33,0,1,33,2,6.274312962730582e-05,40.514437349999994,-74.25434335,40.0,,
34,0,1,34,2,6.274312962730582e-05,40.3995,-74.03110000000001,40.0,,
35,0,1,35,159,0.004988078805370812,40.75971045651282,-73.82588855692308,40.0,0.001354513643019728,"[[ 40.7876014 -73.8459682]
 [ 40.7945457 -73.8184674]
 [ 40.7627097 -73.8146116]
 [ 40.7254    -73.8156   ]
 [ 40.7274987 -73.8217204]
 [ 40.7817    -73.8485   ]]"
36,0,1,36,1,3.137156481365291e-05,41.049,-74.1106,40.0,,
